Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,12,61.25297772099122,,12.0,12,,,,,,,,,,,,769543,,,,
16:45:00.000+05:30,17:00:00.000+05:30,15,68.99999377872513,,15.0,15,,,,,,,,,,,,900000,,,,
17:00:00.000+05:30,17:15:00.000+05:30,15,68.99999377872513,,15.0,15,,,,,,,,,,,,900000,,,,
17:15:00.000+05:30,17:30:00.000+05:30,11,52.62185760448692,57.34851807043244,10.0,10,,,,,0.5375640094280243,0.5415076017379761,0.5336204171180725,92,,,,624198,,,,
