Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
19:30:00.000+05:30,19:45:00.000+05:30,,15.554686518915435,,,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,8,15.554686518915435,311.02856254577637,,,,,,,0.6854965602643877,1.0293864011764526,0.30141347646713257,510,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554686518915435,,,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.554686518915435,,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,2,15.554686518915435,58.66787788864725,,,,,,,0.48734490573406225,0.6732763648033142,0.3014134466648102,112,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,12,39.99219766576725,175.3570378065432,6.0,6,,,,,0.45046645014195247,1.054643988609314,0.3142927289009094,284,,,,,411519,,
21:00:00.000+05:30,21:15:00.000+05:30,15,68.99999531915707,,15.0,15,,,,,,,,,,,,,900000,,
21:15:00.000+05:30,21:30:00.000+05:30,15,68.99999531915707,,15.0,15,,,,,,,,20,,,,,900000,,
21:30:00.000+05:30,21:45:00.000+05:30,15,68.99999531915707,,15.0,15,,,,,,,,,,,,,900000,,
21:45:00.000+05:30,22:00:00.000+05:30,13,62.55829182024103,,13.0,13,,,,,,,,,,,,,791524,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.554688071245774,,,,,,,,,,,,,,,,,,
