Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Krafttraining – Dauer (ms)
17:30:00.000+05:30,17:45:00.000+05:30,1,37.236026386940885,74.75054359436035,,,,,,,0.5193181991204179,0.5850113034248352,0.3014134466648102,195,,,,398925,
17:45:00.000+05:30,18:00:00.000+05:30,,15.450519719287197,1.8084808588027954,,,,,,,,,,50,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,2,19.69774390048775,55.3429608262103,,,,,,,0.6242392361164093,0.6324533820152283,0.6160250902175903,145,,,,77773,
18:15:00.000+05:30,18:30:00.000+05:30,1,17.86059140278025,22.421718128867823,,,,,,,0.5285162925720215,0.5285162925720215,0.5285162925720215,44,,,,44132,
18:30:00.000+05:30,18:45:00.000+05:30,,15.450519820363825,,,,,,,,,,,1,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.450519820363825,,,,,,,,,,,1,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.450519820363825,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,3,18.546336465620044,74.23043053121057,,,,,,,0.3675548136234284,0.4336961507797241,0.30141347646713257,146,,,,56689,
21:00:00.000+05:30,21:15:00.000+05:30,10,64.60000174332237,461.3985551096116,,,,,,,0.6580590143050261,0.9208533763885498,0.27127209305763245,790,,,,900000,
21:15:00.000+05:30,21:30:00.000+05:30,8,64.60000174332237,393.16443764447394,,,,,,,0.5306260321202002,0.9387531280517578,0.25820109248161316,682,,,,900000,
21:30:00.000+05:30,21:45:00.000+05:30,7,45.80901923453675,121.47360266227469,3.0,3,,,,,0.5753324147748128,0.8724755048751831,0.38878244161605835,235,,,,326194,237203
21:45:00.000+05:30,22:00:00.000+05:30,15,63.04849884526559,,15.0,15,,,,,,,,,,,,,900000
22:00:00.000+05:30,22:15:00.000+05:30,7,40.74096859167432,,7.0,7,,,,,,,,,,,,,490168
22:15:00.000+05:30,22:30:00.000+05:30,8,40.60549603824308,,8.0,8,,,,,,,,,,,,,493629
22:30:00.000+05:30,22:45:00.000+05:30,1,15.4505193650586,45.81484794616699,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,97,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.45052113365847,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.45052113365847,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.45052113365847,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.45052113365847,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.45052113365847,,,,,,,,,,,,,,,,
