Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
18:30:00.000+05:30,18:45:00.000+05:30,15,65.54999374472061,760.6314728312523,2.0,2,,,,,0.8852611727720927,1.3492214679718018,0.2898486256599426,1205,,,,,900000,
18:45:00.000+05:30,19:00:00.000+05:30,10,44.147669563814134,401.6966350999605,,,,,,,0.7581723433568974,1.1037670373916626,0.3658529818058014,663,,,,,514722,
19:00:00.000+05:30,19:15:00.000+05:30,,15.938483972271207,5.393732450409576,,,,,,,,,,9,,,,,6908,
19:15:00.000+05:30,19:30:00.000+05:30,1,15.554687617913876,27.954601764678955,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,46,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.554687617913876,,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,2,15.554687617913876,37.978097438812256,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,63,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,8,22.586583317040816,277.948785330109,1.0,1,,,,,0.7494942646265725,1.334568738937378,0.3014134466648102,442,,,,,126586,
20:15:00.000+05:30,20:30:00.000+05:30,9,45.03760569330276,534.8832115876156,3.0,3,,,,,1.0177425189637546,1.2300100326538086,0.4933512806892395,839,,,,,530742,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554687130589851,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,6,25.453312970446788,278.4877243041992,2.0,2,,,,,0.6784501872048463,1.2675284147262573,0.2511778771877289,430,,,,,178192,
21:00:00.000+05:30,21:15:00.000+05:30,1,19.95077482668846,51.49871635437012,,,,,,,0.6277074813842772,0.9540014863014221,0.30141347646713257,84,,,,,79137,
21:15:00.000+05:30,21:30:00.000+05:30,,15.554687269713886,,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554687269713886,,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,4,15.738558916034693,95.3372893333435,,,,,,,0.5034803509351647,0.6943848133087158,0.3014134466648102,166,,,,,3310,
22:00:00.000+05:30,22:15:00.000+05:30,12,30.632329390154986,484.44871616363525,1.0,1,,,,,0.7219075765063399,1.3232927322387695,0.3014134466648102,774,,,,,271423,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.554686945544084,,,,,,,,,,,,,,,,,
