Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
16:15:00.000+05:30,16:30:00.000+05:30,,15.45052141699614,0.6028269529342651,,,,,,,,,,1,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.450521977585659,,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,2,21.70615587362505,81.7323169708252,,,,,,,0.558625137863446,1.0762863159179688,0.30141347646713257,134,,,,,114550,
19:15:00.000+05:30,19:30:00.000+05:30,1,15.450519863809767,39.2329466342926,,,,,,,0.2913663536310196,0.30141347646713257,0.2813192307949066,72,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,1,15.450519863809767,36.70532989501953,,,,,,,0.3508726507425308,0.40033185482025146,0.3014134466648102,59,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.450519863809767,16.27632713317871,,,,,,,0.27127209305763245,0.27127209305763245,0.27127209305763245,27,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.450519863809767,21.09894371032715,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,35,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.450519863809767,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,8,37.25112695249489,367.9848780211022,,,,,,,0.6765250126509493,1.0516018867492676,0.2511778771877289,588,,,,,225686,76111
