Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Intervalltraining mit hoher Intensität – Dauer (ms)
17:45:00.000+05:30,18:00:00.000+05:30,1,15.554687476835573,33.75830841064453,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,56,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.554687476835573,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554687476835573,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.554687476835573,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,5,15.554687476835573,96.55751050675002,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,160,,,,
19:00:00.000+05:30,19:15:00.000+05:30,14,15.554687462003415,410.4705882752977,,,,,,,0.47530689008667903,0.9016020894050598,0.30141347646713257,677,,,,
19:15:00.000+05:30,19:30:00.000+05:30,4,15.55468726478607,213.11557034637028,,,,,,,0.9053106904029846,0.9053106904029846,0.9053106904029846,346,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.55468726478607,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,2,15.554687007400133,60.885520935058594,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,101,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554686510625052,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.554686510625052,12.114109467369037,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,39,,,,
21:00:00.000+05:30,21:15:00.000+05:30,1,15.554686510625052,40.33183627237706,,,,,,,0.3440006673336029,0.38658788800239563,0.3014134466648102,73,,,,
