Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms),Krafttraining – Dauer (ms)
19:15:00.000+05:30,19:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.450520371025421,,,,,,,,,,,1,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,1,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,18.56315605435804,,,,,,,,,,,40,,,,56997,,
21:45:00.000+05:30,22:00:00.000+05:30,1,15.450520012351198,21.701770782470703,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,41,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.450520012351198,,,,,,,,,,,3,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.450520012351198,,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.450520012351198,,,,,,,,,,,2,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.450520012351198,,,,,,,,,,,10,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.450520012351198,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.450520012351198,,,,,,,,,,,1,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.450520012351198,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.450520012351198,,,,,,,,,,,,,,,,,
