Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Gehen – Dauer (ms)
19:30:00.000+05:30,19:45:00.000+05:30,1,16.296873395617432,32.63759231567383,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,52,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,16.296873395617432,,,,,,,,,,,7,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.296873395617432,,,,,,,,,,,5,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
