Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554686152543942,,,,,,,,,,,17,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,4,15.554686152543942,101.47720718383789,,,,,,,0.7216511964797974,1.141888976097107,0.3014134168624878,165,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,10,48.49498697177958,565.4736827564772,4.0,4,,,,,0.9049223092772462,1.3345848321914673,0.3014134466648102,855,,,,,592981,,,
16:15:00.000+05:30,16:30:00.000+05:30,2,20.536524681035267,51.315244321769946,,,,,,,0.609069287776947,0.7164879441261292,0.5016506314277649,85,,,,,89681,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554687435594099,,,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687435594099,,,,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,1,15.554687435594099,42.1978874206543,,,,,,,0.44581152498722076,0.5902096033096313,0.3014134466648102,70,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687435594099,,,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554687435594099,,,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554687435594099,,,,,,,,,,,12,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,3,21.661114460235318,107.37313028262204,,,,,,,0.9773349314928055,1.6532564163208008,0.3014134466648102,162,,,,,109926,,,
18:15:00.000+05:30,18:30:00.000+05:30,,17.41901213432964,14.624722600627221,,,,,,,,,,22,,,,,33561,,,
18:30:00.000+05:30,18:45:00.000+05:30,1,15.554687097932218,41.35695592412378,,,,,,,0.2963898926973343,0.3014134466648102,0.2913663387298584,91,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.554687113363771,,,,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.554687113363771,,,,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.554687113363771,,,,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,3,15.554687113363771,65.4201799904025,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,109,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,2,24.61544686582309,157.42172560346955,2.0,2,,,,,0.9800549817371595,1.284120798110962,0.3772317171096802,237,,,,,163109,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554685929312912,16.27632713317871,,,,,,,0.27127209305763245,0.27127209305763245,0.27127209305763245,27,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,11,33.63911673895815,467.889683511727,2.0,2,,,,,0.7308160315251189,1.358477234840393,0.24878136813640594,755,,,,,325550,,,
20:30:00.000+05:30,20:45:00.000+05:30,4,15.554685636061693,106.49896988583308,,,,,,,0.4821252189968189,0.7346475124359131,0.30177736282348633,175,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.554685636061693,,,,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,6,29.255236709070573,167.96638107299805,,,,,,,0.3985027298250622,0.5300838351249695,0.2992042303085327,320,,,,,,108333,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.554687400913817,,,,,,,,,,,19,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,1,15.55468753603539,39.18375253677368,,,,,,,0.679178923368454,0.7704194784164429,0.5879383683204651,87,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,4,43.606766790748864,,8.0,4,,,,,,,,,,,,,,,240000,
22:00:00.000+05:30,22:15:00.000+05:30,15,120.74998474121094,,30.0,15,,,,,,,,,,,,,,,900000,
22:15:00.000+05:30,22:30:00.000+05:30,15,120.74998474121094,,30.0,15,,,,,,,,,,,,,,,900000,
22:30:00.000+05:30,22:45:00.000+05:30,15,120.74998474121094,,30.0,15,,,,,,,,,,,,,,,900000,
22:45:00.000+05:30,23:00:00.000+05:30,15,120.74998575846354,,21.0,15,,,,,,,,,,,,,,,900000,
23:00:00.000+05:30,23:15:00.000+05:30,5,33.85642521947048,160.72684266059397,2.0,2,,,,,0.8761017918586731,1.150220274925232,0.6019833087921143,269,,,,,203216,,60000,
23:15:00.000+05:30,23:30:00.000+05:30,9,40.35620471556172,541.5987789443254,6.0,6,,,,,1.0984436977595955,1.4225739240646362,0.31552645564079285,810,,,,7086,288632,,,157837
23:30:00.000+05:30,23:45:00.000+05:30,,15.554686296686082,,,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.554686296686082,,,,,,,,,,,,,,,,,,,
