Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
21:15:00.000+05:30,21:30:00.000+05:30,3,20.236637506479624,94.01793647711555,,,,,,,0.5105044826793967,0.7121291756629944,0.26122501492500305,201,,,,,84283,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554688012282076,,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.554688012282076,,,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554688012282076,,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554687558558776,,,,,,,,,,,13,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554687311243148,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554687311243148,,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554687311243148,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,6,28.49100439116701,281.4367065049025,2.0,2,,,,,0.8580065199244321,1.320242166519165,0.2741160988807678,459,,,,122959,,210337
23:30:00.000+05:30,23:45:00.000+05:30,12,54.010637781770335,866.979238548198,11.0,11,,,,,1.2524697272015928,1.3649243116378784,1.151715636253357,1292,,,,5912,,692272
23:45:00.000+05:30,00:00:00.000+05:30,2,20.801138947594634,101.36333417892456,,,,,,,0.6478629122633387,0.9629723429679871,0.3014134466648102,196,,,,,94445,
