Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
17:00:00.000+05:30,17:15:00.000+05:30,2,18.926481180245997,49.246187869473545,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,80,,,,60698,
17:15:00.000+05:30,17:30:00.000+05:30,2,22.539900887995856,142.02320986612216,1.0,1,,,,,1.2435936629772186,1.5017857551574707,0.9854015707969666,215,,,,125745,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554686831920288,15.53262035314993,,,,,,,,,,26,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,15,15.554686831920288,549.2167322185921,,,,,,,0.7382209190390223,1.2872507572174072,0.3014134466648102,895,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,11,15.554686831920288,592.084345700963,4.0,4,,,,,0.970169551947805,1.5906424522399902,0.35679328441619873,923,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554686831920288,,,,,,,,,,,16,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,11,15.554686831920288,579.1306365151075,5.0,5,,,,,1.0494372016789104,1.291787028312683,0.30141347646713257,886,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,10,15.554686831920288,356.9204580169054,,,,,,,0.6613958719879008,1.2419233322143555,0.30141347646713257,582,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,3,15.554686831920288,80.12333834428904,,,,,,,0.7905211001634598,1.2796287536621094,0.3014134466648102,130,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,8,15.554686831920288,397.6317320853321,2.0,2,,,,,0.76447780143406,1.243969440460205,0.30141347646713257,626,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,2,15.554686831920288,103.15786911887128,,,,,,,0.9338615051314926,1.3265979290008545,0.4854695200920105,165,,,,,
