Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms)
20:45:00.000+05:30,21:00:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
